_key,name
rPEPPER7kfTD9w2To4CQk6UCfuHM9c6GDY,XRP Tip Bot
r3kmLJN5D28dHuH8vZNUZpMC43pEHpaocV,Ripple
rhL5Va5tDbUUuozS9isvEuv7Uk1uuJaY1T,HitBTC
r4eEbLKZGbVSBHnSUBZW8i5XaMjGLdqT4a,HitBTC
r9QA3mVFQ7V4CE8uGVaeGGDGgeAFc8rsPF,Coindelta
rJb5KsHsDHF1YS5B5DU6QCkH5NsPaKQTcy,Binance
rEb8TK3gBgk5auZkwc6sHnwrGVJH8DuaLh,Binance
rsG1sNifXJxGS2nDQ9zHyoe1S5APrtwpjV,bithumb
rJ1TAACKgTVue6xZhH6ayAzPWVPMp9rraa,bithumb
rsuUjfWxrACCAwGQDsNeZUhpzXf1n1NK5Z,Bithomp
rnk3N5hHnLS6nWncNh2R4D2ATiuEicjxXo,Bithomp
rhUYLd2aUiUVYkBZYwTc5RYgCAbNHAwkeZ,Bithomp activation
rDCgaaSBAWYfsxUYhCk1n26Na7x8PQGmkq,Poloniex
rfpxubnWte6sSc2uN4w3AzjgGEpo6vHidg,Poloniex
rPVMhWBsfF9iMXYj3aAzJVkPDTFNSyWdKy,Bittrex
rMwjYedjc7qqtKYVLiAccJSmCwih4LnE2q,SnapSwap
rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B,Bitstamp
rDsbeomae4FXwgQTJp9Rs64Qg9vDiTCdBv,Bitstamp
rrpNnNLKrartuEqfJGpqyDwPj1AFPg9vn1,Bitstamp
rGFuMiw48HdbnrUbkRYuitXTmfrDBNTCnX,Bitstamp
rUobSiUpYH2S97Mgb4E7b7HuzQj2uzZ3aD,Bitstamp
rLEsXccBGNR3UPuPu2hUXPjziKC3qKSBun,The Rock
rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,GateHub UAB
rhPGyJfM8bGjfNCiXLL7WRU8VZ5Cw4kHVe,GateHub UAB
rcA8X3TVMST1n3CJeAdGk1RdRCHii7N2h,GateHub UAB
rckzVpTnKpP4TJ1puQe827bV3X4oYtdTP,GateHub UAB
rhdT3DksUegs6SDztyLRaCNP2ukfbHKy5g,GateHub UAB
rDAN8tzydyNfnNf2bfUQY6iR96UbpvNsze,GateHub UAB
rsXAifedPJ3ESTgSHJ5XzrXw6oYD8Uha7x,GateHub UAB
rcoef87SYMJ58NAFx7fNM5frVknmvHsvJ,BPG Kovine
rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,GateHub UAB
rh7YWTfjKXi1rbToH6pV9m5f2mHpx28Rbv,GateHub UAB
rcyS4CeCZVYvTiKcxj6Sx32ibKwcDHLds,GateHub UAB
rhKgFxe7Mp38yeJzvwoNLm46RxMdXotTn6,GateHub UAB
rbXY3XFKCAnNRv2bYmxrnztf8fMc9YvAf,GateHub UAB
r3ttJ41YnMrKiLqGUXJpQE8urqyMGjC8vE,GateHub UAB
rhnjnaUMwe6BxVkszuU6sM6qbNXBAqwQGu,GateHub UAB
rcXY84C4g14iFp6taFXjjQGVeHqSCh9RX,GateHub UAB
